sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大里,臺中市,120,細懸浮微粒,對敏感族群不健康,1.7,0.64,9.5,4.2,68,48,21.7,34,12.3,0.7,350,"2024-03-15 09:00",,0.5,43,61,1,120.67844444,24.09961111,30
沙鹿,臺中市,87,細懸浮微粒,普通,1.3,0.46,21.1,25.4,82,39,18,21.1,3.1,1.2,309,"2024-03-15 09:00",,0.3,30.3,70,0,120.568794,24.225628,29
豐原,臺中市,71,細懸浮微粒,普通,1.2,0.82,8.9,13.1,44,30,24.5,40.8,16.3,0.2,303,"2024-03-15 09:00",,0.4,23.8,39,1,120.74252414,24.25699731,28
三義,苗栗縣,83,細懸浮微粒,普通,1.4,0.42,22.8,21.0,38,24,15.8,20.8,5,0.3,248,"2024-03-15 09:00",,0.3,28.5,47,1,120.75956754,24.38248443,27
苗栗,苗栗縣,100,細懸浮微粒,普通,1.5,0.64,8.3,8.8,75,42,19.6,27.8,8.2,0.9,155,"2024-03-15 09:00",,0.3,35.3,60,1,120.82011468,24.56499183,26
頭份,苗栗縣,95,細懸浮微粒,普通,2.9,0.74,7.8,8,76,42,22.4,33.1,10.7,0.6,356,"2024-03-15 09:00",,0.4,33.4,57,2,120.89869286,24.69690679,25
新竹,新竹市,107,細懸浮微粒,對敏感族群不健康,1.4,0.88,2.3,2.0,64,41,28.5,58.9,30.3,0.3,56,"2024-03-15 09:00",,0.6,38,55,1,120.97236752,24.8056356,24
竹東,新竹縣,70,細懸浮微粒,普通,2.8,0.47,17.6,14.7,51,31,16,19.8,3.8,0.2,225,"2024-03-15 09:00",,0.3,23.4,35,1,121.08895493,24.74091408,23
湖口,新竹縣,135,細懸浮微粒,對敏感族群不健康,3.5,0.56,5.8,2.9,89,49,32,44.3,12.3,0.8,174,"2024-03-15 09:00",,0.6,48.7,73,1,121.03886894,24.90009696,22
龍潭,桃園市,102,細懸浮微粒,對敏感族群不健康,2.4,0.57,15,11.3,73,38,27.6,35.3,7.6,1,222,"2024-03-15 09:00",,0.5,35.9,59,1,121.21645772,24.86400048,21
平鎮,桃園市,122,細懸浮微粒,對敏感族群不健康,1.7,0.93,4.5,2.7,71,44,40.7,57,16.2,0.2,147,"2024-03-15 09:00",,0.7,43.5,68,1,121.203986,24.952786,20
觀音,桃園市,145,細懸浮微粒,對敏感族群不健康,1.7,0.51,8.5,13.7,91,47,26.3,32.7,6.3,1.1,204,"2024-03-15 09:00",,0.4,52.3,81,1,121.08283092,25.03556747,19
大園,桃園市,144,細懸浮微粒,對敏感族群不健康,2.9,0.75,2.9,12.2,102,60,35,46.4,11.4,0.9,152,"2024-03-15 09:00",,0.5,52.2,80,2,121.20251473,25.06100357,18
桃園,桃園市,87,細懸浮微粒,普通,1.8,0.99,4.1,6.4,42,25,34.7,52.8,18,0.7,206,"2024-03-15 09:00",,0.6,30.3,49,1,121.30500531,24.9947107,17
大同,臺北市,80,細懸浮微粒,普通,2.6,4.91,1.2,16.0,59,37,39.8,238.3,198.5,-,-,"2024-03-15 09:00",,1.3,27.2,45,1,121.51342074,25.06331455,16
松山,臺北市,79,細懸浮微粒,普通,2.1,1.02,3.1,18.1,39,29,41,75.9,34.9,0.4,300,"2024-03-15 09:00",,0.5,26.7,37,1,121.578611,25.05,15
古亭,臺北市,67,細懸浮微粒,普通,1.3,0.97,3.2,29.3,41,27,34.5,55.5,21,0.7,320,"2024-03-15 09:00",,0.4,22,34,1,121.529556,25.020608,14
萬華,臺北市,70,細懸浮微粒,普通,1.2,1.31,3.1,25.4,49,25,39.5,73.3,33.7,0.9,296,"2024-03-15 09:00",,0.6,23.2,39,1,121.507972,25.046503,13
中山,臺北市,64,細懸浮微粒,普通,1.1,1.3,3,27.1,53,26,40,77.2,37.2,0.9,254,"2024-03-15 09:00",,0.6,20.8,40,1,121.526528,25.062361,12
士林,臺北市,62,細懸浮微粒,普通,1.3,0.96,1.8,30.1,55,32,42,77.6,35.5,0.7,127,"2024-03-15 09:00",,0.4,19.8,37,1,121.51666356,25.10334003,11
淡水,新北市,71,細懸浮微粒,普通,0.9,1,3.9,26.0,39,21,32.7,53.4,20.6,0.4,110,"2024-03-15 09:00",,0.5,23.5,39,0,121.449239,25.1645,10
林口,新北市,60,細懸浮微粒,普通,1.3,0.55,15,37.6,41,21,33.4,62,28.5,0.8,112,"2024-03-15 09:00",,0.3,19,36,1,121.36548982,25.07798949,9
菜寮,新北市,78,細懸浮微粒,普通,1.5,1.64,1.4,15.2,50,34,41.2,98.6,57.3,0.5,188,"2024-03-15 09:00",,0.7,26.5,42,1,121.481028,25.06895,8
新莊,新北市,79,細懸浮微粒,普通,1.4,1.35,1.2,9.8,62,27,30.5,82.3,51.8,0.4,253,"2024-03-15 09:00",,0.6,26.8,49,1,121.4325,25.037972,7
板橋,新北市,65,細懸浮微粒,普通,1.4,0.81,3.6,12.1,45,21,34.3,52.2,17.8,0.5,211,"2024-03-15 09:00",,0.5,21.2,37,1,121.458667,25.012972,6
土城,新北市,73,細懸浮微粒,普通,1.5,1.1,2.7,7.1,58,29,32.4,94.3,61.8,0.3,112,"2024-03-15 09:00",,0.6,24.6,40,1,121.451861,24.982528,5
新店,新北市,65,細懸浮微粒,普通,1.2,0.66,12.4,36,35,24,30.3,37.2,6.9,0.4,301,"2024-03-15 09:00",,0.4,21,32,1,121.537778,24.977222,4
萬里,新北市,49,,良好,1.3,0.31,19.2,29.8,29,18,7.6,10.1,2.4,2,223,"2024-03-15 09:00",,0.2,15,27,1,121.689881,25.179667,3
汐止,新北市,60,細懸浮微粒,普通,1.8,1.19,0,4.8,49,23,34.7,113.8,79.1,0.4,354,"2024-03-15 09:00",,0.5,19.2,34,1,121.64081,25.06624,2
基隆,基隆市,59,細懸浮微粒,普通,1.4,0.86,5.2,26.7,27,18,28.9,40.8,11.9,0.5,298,"2024-03-15 09:00",,0.4,18.8,28,1,121.760056,25.129167,1
屏東(枋山),屏東縣,67,臭氧八小時,普通,0.3,0.19,57.7,60.8,27,11,3.2,3.5,0.3,5.2,90,"2024-03-15 08:00",,0.1,12.3,26,0,120.651472,22.260899,313
新北(樹林),新北市,79,細懸浮微粒,普通,0.5,0.64,6.9,11.1,33,22,22.6,42.8,20.2,0.1,114,"2024-03-15 08:00",,0.3,26.7,36,0,121.38352778,24.94902778,311
屏東(琉球),屏東縣,94,細懸浮微粒,普通,2.4,0.39,44.2,52.9,63,32,8.9,9.8,0.9,1,32,"2024-03-15 08:00",,0.3,32.9,66,2,120.37722,22.35222,204
臺南(麻豆),臺南市,152,細懸浮微粒,對所有族群不健康,1.1,0.53,10.2,10.8,109,61,18.3,23.6,5.2,1.3,352,"2024-03-15 08:00",,0.4,56.2,98,1,120.24583056,23.17904722,203
高雄(湖內),高雄市,144,細懸浮微粒,對敏感族群不健康,2,0.53,5.5,6.9,112,64,17.8,25.4,7.6,1.2,51,"2024-03-15 08:00",,0.4,51.9,97,1,120.24535,22.87985556,202
彰化(員林),彰化縣,118,細懸浮微粒,對敏感族群不健康,5.8,0.59,14,9.1,86,,19,23.2,4.2,0.6,60,"2024-03-15 08:00",,0.4,42,75,2,120.56373,23.96117,201
大城,彰化縣,80,細懸浮微粒,普通,0.8,0.14,29.9,37.1,63,28,7.2,9,1.8,3,67,"2024-03-15 08:00",,0.1,27.4,51,0,120.26964167,23.85493056,85
富貴角,新北市,52,細懸浮微粒,普通,0.6,0.29,31.8,43.7,45,18,8.3,8.6,0.3,1,191,"2024-03-15 08:00",,0.2,16.1,46,1,121.53656894,25.29681695,84
麥寮,雲林縣,84,細懸浮微粒,普通,1.5,0.25,27.8,31.9,73,29,10.1,10.6,0.4,2.4,25,"2024-03-15 08:00",,0.2,28.8,58,1,120.251825,23.753506,83
關山,臺東縣,53,細懸浮微粒,普通,1,0.3,22.4,30.8,37,18,6.6,7.8,1.2,0.4,87,"2024-03-15 08:00",,0.2,16.5,31,0,121.161933,23.045083,80
馬公,澎湖縣,62,細懸浮微粒,普通,0.1,0.29,47.2,46.6,38,21,6,6.8,0.7,3.4,55,"2024-03-15 08:00",,0.2,20,34,0,119.566158,23.569031,78
金門,金門縣,126,細懸浮微粒,對敏感族群不健康,2.4,0.49,16.7,23.1,65,45,14.2,15.2,0.9,1.3,21,"2024-03-15 08:00",,0.4,45,64,2,118.312256,24.432133,77
馬祖,連江縣,68,細懸浮微粒,普通,0.8,0.21,48.4,38.5,21,18,4.8,5.3,0.4,1,203,"2024-03-15 08:00",,0.3,22.4,27,2,119.93149378,26.15188416,75
埔里,南投縣,68,細懸浮微粒,普通,1,0.4,3.6,9.5,32,25,9.3,16.7,7.4,0.8,286,"2024-03-15 08:00",,0.3,22.4,29,1,120.967903,23.968842,72
復興,高雄市,140,細懸浮微粒,對敏感族群不健康,1.8,0.87,29,21.3,83,46,27.4,31.5,4,1,113,"2024-03-15 08:00",,0.6,50.7,84,2,120.312017,22.608711,71
永和,新北市,69,細懸浮微粒,普通,1.7,1.51,2.2,23.9,43,23,34.4,77.6,43.2,1.5,285,"2024-03-15 08:00",,0.7,22.7,38,1,121.516306,25.017,70
竹山,南投縣,103,細懸浮微粒,對敏感族群不健康,1.2,0.44,5.5,10.6,63,40,15.9,23.1,7.1,0.3,309,"2024-03-15 08:00",,0.3,36.3,53,1,120.677306,23.756389,69
中壢,桃園市,139,細懸浮微粒,對敏感族群不健康,3.7,2.49,1.4,4.8,85,55,40.7,123.4,82.7,0.3,231,"2024-03-15 08:00",,1.1,50,72,2,121.221667,24.953278,68
三重,新北市,73,細懸浮微粒,普通,1.8,2.42,2.4,12.9,45,31,48.2,169.8,121.6,-,-,"2024-03-15 08:00",,1,24.5,41,1,121.493806,25.072611,67
冬山,宜蘭縣,64,細懸浮微粒,普通,0.7,0.59,9.2,17.8,45,20,18.9,31.5,12.6,0.7,302,"2024-03-15 08:00",,0.3,20.6,38,0,121.792928,24.632203,66
宜蘭,宜蘭縣,59,細懸浮微粒,普通,1.3,0.44,23,27.4,37,25,8.5,9.9,1.4,0.2,187,"2024-03-15 08:00",,0.3,18.7,32,1,121.746394,24.747917,65
陽明,臺北市,52,細懸浮微粒,普通,1.3,0.25,54.5,55.8,29,14,1.8,2.2,0.4,1.3,180,"2024-03-15 08:00",,0.2,16,26,1,121.529583,25.182722,64
花蓮,花蓮縣,54,細懸浮微粒,普通,0.7,0.31,21.6,21.5,21,17,4.7,6.2,1.4,2.7,215,"2024-03-15 08:00",,0.2,16.8,23,0,121.599769,23.971306,63
臺東,臺東縣,57,細懸浮微粒,普通,0.4,0.31,36.5,43.4,41,19,7.7,8.2,0.4,0.4,315,"2024-03-15 08:00",,0.2,18.1,38,0,121.15045,22.755358,62
恆春,屏東縣,67,臭氧八小時,普通,1.6,0.21,59.5,60.9,26,13,1.1,1.7,0.6,6.3,43,"2024-03-15 08:00",,0.2,15.1,28,1,120.788928,21.958069,61
潮州,屏東縣,90,細懸浮微粒,普通,1,0.49,24.9,28.4,61,35,9.5,11.6,2,0.6,204,"2024-03-15 08:00",,0.4,31.2,58,1,120.561175,22.523108,60
屏東,屏東縣,109,細懸浮微粒,對敏感族群不健康,1.8,0.49,20.2,29.8,70,31,15.5,18.4,2.8,1.1,14,"2024-03-15 08:00",,0.4,38.5,72,2,120.488033,22.673081,59
小港,高雄市,119,細懸浮微粒,對敏感族群不健康,2.5,0.67,20.8,31.8,79,41,32.4,38.2,5.7,1.2,57,"2024-03-15 08:00",,0.5,42.6,77,2,120.337736,22.565833,58
前鎮,高雄市,130,細懸浮微粒,對敏感族群不健康,2.6,0.86,26.8,19.2,83,41,29.9,35.2,5.3,0.2,355,"2024-03-15 08:00",,0.6,46.5,93,2,120.30833356,22.6044507,57
前金,高雄市,148,細懸浮微粒,對敏感族群不健康,2.5,0.82,17.2,17.2,108,59,24.7,28.6,3.9,0.3,254,"2024-03-15 08:00",,0.5,53.8,104,1,120.28676111,22.63390278,56
左營,高雄市,152,細懸浮微粒,對所有族群不健康,2.6,0.77,18.3,16.1,91,53,26.8,31.2,4.4,0.8,173,"2024-03-15 08:00",,0.5,55.5,94,1,120.292917,22.674861,54
楠梓,高雄市,131,細懸浮微粒,對敏感族群不健康,0.8,0.64,13.2,15.1,79,43,28.8,35.1,6.2,0.4,359,"2024-03-15 08:00",,0.4,46.9,85,1,120.328289,22.733667,53
林園,高雄市,128,細懸浮微粒,對敏感族群不健康,2,0.49,22.7,29.8,88,45,14.6,16.9,2.3,0.8,33,"2024-03-15 08:00",,0.4,45.8,89,1,120.41175,22.4795,52
大寮,高雄市,137,細懸浮微粒,對敏感族群不健康,11.5,0.64,13,22.8,79,43,27,33.8,6.7,0.6,337,"2024-03-15 08:00",,0.4,49.5,81,8,120.425311,22.56413611,51
鳳山,高雄市,124,細懸浮微粒,對敏感族群不健康,2.4,0.7,32.8,31.0,78,37,18.7,20.6,1.8,0.9,97,"2024-03-15 08:00",,0.5,44.2,84,2,120.357422,22.628126,50
仁武,高雄市,152,細懸浮微粒,對所有族群不健康,2.3,0.71,17.4,10.2,89,53,31.8,46.7,14.9,0.8,182,"2024-03-15 08:00",,0.5,56.1,93,1,120.332631,22.689056,49
橋頭,高雄市,143,細懸浮微粒,對敏感族群不健康,1.5,0.51,16.1,11.8,67,40,18.6,22.9,4.2,0.9,35,"2024-03-15 08:00",,0.4,51.7,83,1,120.305689,22.757506,48
美濃,高雄市,92,細懸浮微粒,普通,1.1,0.46,28.3,37.3,57,32,10.4,12,1.5,0.8,230,"2024-03-15 08:00",,0.3,32.2,58,0,120.530542,22.883583,47
臺南,臺南市,152,細懸浮微粒,對所有族群不健康,1.4,0.69,6.1,8.5,117,71,24.9,36,11,1.5,17,"2024-03-15 08:00",,0.5,56,102,1,120.21947897,22.98928311,46
安南,臺南市,155,細懸浮微粒,對所有族群不健康,1.2,0.63,6.7,10.6,107,78,19.6,29.4,9.8,1.7,0,"2024-03-15 08:00",,0.4,62,92,1,120.2175,23.048197,45
善化,臺南市,135,細懸浮微粒,對敏感族群不健康,2.1,0.51,9.8,10.5,104,58,15.3,20.3,4.9,2.4,8,"2024-03-15 08:00",,0.4,48.7,94,1,120.29740529,23.11337642,44
新營,臺南市,149,細懸浮微粒,對敏感族群不健康,1.7,0.52,9.3,9.9,95,57,17.9,22.9,4.9,1.8,41,"2024-03-15 08:00",,0.4,54.1,88,1,120.31725,23.305633,43
嘉義,嘉義市,153,細懸浮微粒,對所有族群不健康,1.8,0.49,10.7,9.6,89,61,16,20.8,4.8,2.4,8,"2024-03-15 08:00",,0.4,57.9,88,2,120.44125148,23.46477865,42
臺西,雲林縣,70,細懸浮微粒,普通,1.1,0.25,27.5,31.8,83,30,9.4,10.9,1.4,3.1,27,"2024-03-15 08:00",,0.2,23.4,66,1,120.19933333,23.702175,41
朴子,嘉義縣,122,細懸浮微粒,對敏感族群不健康,2.1,0.49,16,17.6,103,52,10.6,15.7,5,1.2,3,"2024-03-15 08:00",,0.3,43.7,81,2,120.2478,23.46538,40
新港,嘉義縣,127,細懸浮微粒,對敏感族群不健康,1.9,0.49,11.7,14.9,104,47,17.4,23.4,5.9,1.7,5,"2024-03-15 08:00",,0.4,45.5,89,2,120.345531,23.554839,39
崙背,雲林縣,102,細懸浮微粒,對敏感族群不健康,1.1,0.33,24.7,19.9,93,37,9.1,10.6,1.4,2.4,126,"2024-03-15 08:00",,0.3,36,83,1,120.348742,23.757547,38
斗六,雲林縣,152,細懸浮微粒,對所有族群不健康,1.4,0.48,6.9,7.9,119,71,16.4,24.2,7.8,1.2,349,"2024-03-15 08:00",,0.3,55.7,93,1,120.544994,23.711853,37
南投,南投縣,86,細懸浮微粒,普通,0.8,0.53,4.8,4.5,60,31,12.7,19.5,6.8,0.2,228,"2024-03-15 08:00",,0.3,29.7,50,0,120.685306,23.913,36
二林,彰化縣,101,細懸浮微粒,對敏感族群不健康,1.3,0.25,28.8,24.5,83,33,8.3,9.3,0.9,2.4,70,"2024-03-15 08:00",,0.3,35.6,76,1,120.409653,23.925175,35
線西,彰化縣,75,細懸浮微粒,普通,1.7,0.3,26.1,28.4,66,21,13.8,15.3,1.5,1.9,42,"2024-03-15 08:00",,0.2,25.2,61,2,120.469061,24.131672,34
彰化,彰化縣,88,細懸浮微粒,普通,0.9,0.49,18,18.8,67,29,18.7,21.3,2.6,0.8,244,"2024-03-15 08:00",,0.3,30.7,66,1,120.541519,24.066,33
