證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"00637L","元大滬深300正2","117,360,971","1,650,312,234","14.00","14.32","13.72","13.72","-0.13","12,552"
"00638R","元大滬深300反1","6,524,000","83,028,110","12.70","12.85","12.60","12.85","+0.06","881"
"00639","富邦深100","2,842,731","30,718,102","10.65","10.88","10.65","10.71","+0.07","290"
"00640L","富邦日本正2","3,151,000","39,372,470","12.34","12.93","12.24","12.28","+0.14","723"
"00641R","富邦日本反1","4,330,005","76,639,029","17.88","18.03","17.36","18.03","+0.05","978"
"00642U","元大S&P石油","77,488,385","800,805,843","10.22","10.45","10.22","10.25","-0.50","13,667"
"00643","群益深証中小","1,486,000","19,564,510","12.81","13.30","12.81","13.02","+0.12","494"
"00643K","群益深証中小+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00645","富邦日本","143,551","2,438,596","16.73","17.15","16.73","16.79","+0.10","38"
"00646","元大S&P500","3,052,106","68,939,394","22.90","22.91","22.38","22.38","-0.56","991"
"00647L","元大S&P500正2","4,152,000","94,073,210","22.75","23.40","22.35","22.41","-1.84","835"
"00648R","元大S&P500反1","10,595,844","149,013,129","13.90","14.20","13.88","14.20","+0.55","1,375"
"00650L","FH香港正2","314,000","6,348,200","20.11","20.70","19.68","20.09","-0.12","89"
"00651R","FH香港反1","1,118,000","10,717,130","9.60","9.68","9.47","9.68","+0.13","217"
"00652","富邦印度","144,240","2,472,946","17.61","17.61","16.89","16.94","-0.68","66"
"00653L","富邦印度正2","1,661,000","26,245,990","16.42","16.42","15.20","15.20","-1.64","430"
"00654R","富邦印度反1","1,077,000","18,607,390","17.00","17.72","16.91","17.65","+0.76","245"
"00655L","國泰中國A50正2","9,188,000","243,042,750","26.45","26.98","25.90","25.90","-0.10","2,103"
"00656R","國泰中國A50反1","2,297,000","26,544,820","11.60","11.68","11.45","11.68","+0.04","252"
"00657","國泰日經225","101,000","2,134,830","21.14","21.14","20.83","20.83","-0.26","3"
"00657K","國泰日經225+U","100","700","7.00","7.00","7.00","7.00","+0.11","1"
"00660","元大歐洲50","72,000","1,287,470","17.89","18.10","17.75","17.81","-0.36","27"
"00661","元大日經225","5,000","108,700","21.83","21.89","21.50","21.50","-0.37","5"
"00662","富邦NASDAQ","287,441","8,117,878","28.40","28.66","27.87","27.87","-0.53","177"
"00663L","國泰臺灣加權正2","1,078,111","30,450,753","28.60","29.02","27.20","27.20","-1.82","234"
"00664R","國泰臺灣加權反1","9,186,005","132,651,621","14.29","14.69","14.24","14.69","+0.44","1,308"
"00665L","富邦恒生國企正2","216,000","4,029,380","18.31","18.96","18.15","18.22","-0.28","95"
"00666R","富邦恒生國企反1","96,000","1,454,230","14.91","15.19","14.91","15.15","+0.24","10"
"00668","國泰美國道瓊","1,585,100","35,786,960","22.63","22.81","22.28","22.28","-0.75","407"
"00668K","國泰美國道瓊+U","100","748","7.48","7.48","7.48","7.48","-0.08","1"
"00669R","國泰美國道瓊反1","16,859,000","258,411,780","15.29","15.60","15.16","15.60","+0.82","2,103"
"00670L","富邦NASDAQ正2","4,569,000","125,750,710","27.70","28.39","26.60","26.60","-2.16","1,446"
"00671R","富邦NASDAQ反1","10,084,100","127,292,220","12.66","12.89","12.51","12.89","+0.58","715"
"00672L","元大S&P原油正2","364,271,500","909,166,432","2.70","2.70","2.36","2.40","-1.01","37,879"
"00673R","元大S&P原油反1","7,133,571","184,148,969","25.70","26.06","25.67","26.06","+2.54","1,420"
"00674R","元大S&P黃金反1","836,000","13,549,280","16.21","16.31","16.15","16.31","-0.28","215"
"00675L","富邦臺灣加權正2","2,685,000","33,273,620","12.63","12.77","11.94","11.94","-0.76","595"
"00676R","富邦臺灣加權反1","10,766,000","84,213,600","7.70","7.95","7.69","7.94","+0.22","1,554"
"00677U","富邦VIX","869,273,587","9,221,523,951","10.32","11.30","10.28","11.30","+1.88","57,546"
"00678","群益NBI生技","493,200","9,496,299","19.70","19.70","19.00","19.01","-0.43","194"
"00680L","元大美債20正2","660,100","19,611,936","29.39","29.86","29.39","29.70","-4.05","186"
"00681R","元大美債20反1","426,000","5,796,800","13.58","13.64","13.56","13.63","+0.82","113"
"00682U","元大美元指數","38,000","756,880","19.82","19.96","19.82","19.96","+0.42","22"
"00683L","元大美元指數正2","62,000","1,259,880","20.38","20.50","20.23","20.35","+0.50","18"
"00684R","元大美元指數反1","16,000","287,600","17.88","18.03","17.87","18.03","X0.00","9"
"00685L","群益臺灣加權正2","403,000","4,373,240","10.98","11.12","10.50","10.57","-0.61","112"
"00686R","群益臺灣加權反1","2,298,000","19,675,030","8.50","8.70","8.42","8.69","+0.25","265"
"00688L","國泰20年美債正2","22,000","663,230","30.20","30.44","29.95","30.10","-4.25","11"
"00689R","國泰20年美債反1","153,000","2,132,040","13.88","14.03","13.82","13.97","+0.79","16"
"00690","兆豐藍籌30","293,150","5,504,916","19.00","19.05","18.45","18.45","-0.50","172"
"00691R","兆豐藍籌30反1","66,000","1,108,220","16.79","16.89","16.70","16.89","+0.43","6"
"00692","富邦公司治理","9,140,240","173,968,953","19.39","19.39","18.72","18.72","-0.70","4,044"
"00693U","街口S&P黃豆","1,587,470","21,105,512","13.19","13.36","13.19","13.30","+0.04","154"
"00700","富邦恒生國企","105,058","1,806,974","17.52","17.52","17.19","17.19","-0.33","7"
"00701","國泰股利精選30","4,367,311","78,307,902","18.24","18.24","17.70","17.71","-0.56","2,090"
"00702","國泰標普低波高息","233,000","3,515,650","15.10","15.23","14.95","14.95","-0.23","19"
"00703","台新MSCI中國","78,000","1,430,740","18.20","18.44","18.15","18.25","+0.27","25"
"00706L","元大S&P日圓正2","11,000","193,660","17.69","17.69","17.58","17.60","-0.05","10"
"00707R","元大S&P日圓反1","2,000","39,030","19.56","19.56","19.47","19.47","+0.02","2"
"00708L","元大S&P黃金正2","9,998,000","224,045,730","22.46","22.53","22.24","22.32","+0.79","1,707"
"00709","富邦歐洲","163,000","2,349,310","14.24","14.53","14.24","14.31","-0.42","22"
"00710B","FH彭博高收益債","401,330","6,944,992","17.50","17.50","17.16","17.17","-0.35","118"
"00711B","FH彭博新興債","504,000","9,802,650","19.63","19.63","19.25","19.42","-0.68","10"
"00712","FH富時不動產","950,300","11,354,719","12.96","12.96","11.04","11.65","-1.31","600"
"00713","元大台灣高息低波","163,000","4,296,660","26.68","26.68","26.00","26.00","-0.62","143"
"00714","群益道瓊美國地產","188,000","3,043,240","16.18","16.35","16.10","16.13","-0.26","39"
"00715L","街口布蘭特油正2","195,838,000","747,541,030","4.01","4.01","3.65","3.65","-1.35","13,399"
"00717","富邦美國特別股","3,873,491","59,753,095","15.76","15.76","15.23","15.42","-0.35","895"
"00728","第一金工業30","1,128,999","18,056,863","16.38","16.44","15.65","15.65","-0.45","192"
"00730","富邦臺灣優質高息","1,112,553","16,036,820","14.60","14.60","14.14","14.18","-0.41","468"
"00731","FH富時高息低波","108,000","4,219,420","39.70","39.70","38.69","38.84","-0.83","48"
"00732","國泰RMB短期報酬","100,000","3,844,000","38.44","38.44","38.44","38.44"," 0.00","2"
"00733","富邦臺灣中小","226,442","3,598,290","16.07","16.22","15.70","15.77","-0.22","22"
"00735","國泰臺韓科技","172,000","2,920,460","17.06","17.09","16.92","16.92","-0.33","19"
"00736","國泰新興市場","130,000","1,968,220","15.10","15.15","15.08","15.12","+0.51","16"
"00737","國泰AI+Robo","1,087,521","17,830,617","16.80","16.85","16.10","16.10","-0.60","428"
"00738U","元大道瓊白銀","2,968,000","42,087,300","14.31","14.31","13.97","14.23","-0.06","448"
"00739","元大MSCI A股","763,000","15,265,450","19.75","20.11","19.75","19.97","+0.26","133"
"00742","新光內需收益","10,000","179,750","18.09","18.09","17.82","17.82","-0.37","6"
"00743","國泰中國A150","35,038","702,259","20.31","20.31","19.80","19.80","-0.36","14"
"00752","中信中國50","1,729,253","36,765,874","21.30","21.41","21.09","21.12","+0.22","901"
"00753L","中信中國50正2","489,000","9,578,780","19.40","20.00","19.16","19.30","-0.06","116"
"00757","統一FANG+","412,000","8,042,890","19.68","19.75","19.10","19.15","-0.83","87"
"00762","元大全球AI","457,250","8,898,295","19.70","19.70","19.35","19.35","-0.27","254"
"00763U","街口道瓊銅","43,000","695,380","16.24","16.24","16.07","16.07","-0.29","12"
"00766L","台新MSCI中國正2","404,000","3,113,240","7.80","7.83","7.60","7.60","-0.07","74"
"00767","FH美國金融股","1,000","16,600","16.60","16.60","16.60","16.60","X0.00","1"
"00770","國泰北美科技","105,000","2,086,320","19.80","20.08","19.55","19.55","-0.76","16"
"00771","元大US高息特別股","212,815","3,334,828","15.75","15.90","15.50","15.56","-0.21","94"
"00774B","新光中國政金綠債","2,000","81,540","40.77","40.77","40.77","40.77","-0.17","2"
"00774C","新光中政金綠債+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00775B","新光投等債15+","2,000","79,200","39.60","39.60","39.60","39.60","-1.80","2"
"00776","新光ICE美國權值","2,000","34,700","17.35","17.35","17.35","17.35","-0.20","2"
"00783","富邦中証500","1,335,641","24,022,744","17.67","18.03","17.67","17.80","+0.13","67"
"008201","BP上證50","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"00830","國泰費城半導體","1,358,692","17,916,918","13.40","13.40","12.96","13.00","-0.22","437"
"00850","元大臺灣ESG永續","8,484,709","157,578,884","18.82","18.85","18.29","18.29","-0.53","4,133"
"00851","台新全球AI","32,000","570,450","17.78","18.01","17.67","17.67","-0.06","20"
"00852L","國泰美國道瓊正2","36,008,250","292,061,567","8.13","8.38","7.90","7.91","-0.94","4,432"
"00861","元大全球未來通訊","9,478,779","163,572,705","17.40","17.55","16.98","16.98","-0.42","2,709"
"00865B","國泰US短期公債","99,000","3,899,070","39.43","39.43","39.35","39.35","-0.15","21"
"00866","新光Shiller CAPE","34,000","514,230","15.20","15.20","14.98","15.00","-0.20","6"
"01001T","土銀富邦R1","404,000","6,566,650","16.30","16.30","16.23","16.30","-0.01","30"
"01002T","土銀國泰R1","795,000","13,684,380","17.20","17.30","17.19","17.30","+0.10","220"
"01003T","兆豐新光R1","41,000","760,630","18.50","18.70","18.50","18.58","-0.22","16"
"01004T","土銀富邦R2","103,000","1,477,280","14.23","14.38","14.23","14.36","-0.02","16"
"01007T","兆豐國泰R2","360,000","6,211,190","17.30","17.30","17.22","17.29","-0.04","25"
"01009T","王道圓滿R1","49,000","457,630","9.47","9.47","9.31","9.47","-0.03","4"
"01010T","京城樂富R1","79,000","784,970","9.90","10.00","9.90","10.00"," 0.00","21"
"020000","富邦特選蘋果N","270,000","1,162,220","4.35","4.35","4.25","4.25","-0.10","34"
"020002","元富新中國N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020004","兆豐電菁英30N","4,000","75,480","18.87","18.87","18.87","18.87","+0.19","1"
"020005","永豐外資50N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020006","永昌中小300N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020007","凱基臺灣500N","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"020008","元大特股高息N","52,000","509,380","9.80","9.82","9.77","9.79","-0.03","19"
"020011","統一微波高息20N","16,000","65,760","4.11","4.11","4.11","4.11","-0.11","4"
"020012","富邦行動通訊N","1,816,000","7,159,580","3.98","3.98","3.84","3.84","-0.07","172"
"1101","台泥","36,467,777","1,343,606,922","37.30","37.50","36.00","36.00","-1.60","15,058"
"1101B","台泥乙特","86,195","4,604,393","53.40","53.80","53.10","53.80","+0.20","52"
"1102","亞泥","10,728,627","408,137,154","38.20","38.75","37.50","37.50","-0.75","5,016"
"1103","嘉泥","1,748,006","26,519,790","15.50","15.50","14.85","14.90","-0.35","1,004"
"1104","環泥","551,863","8,360,926","15.40","15.40","15.00","15.05","-0.30","345"
"1108","幸福","207,000","1,220,120","5.91","6.00","5.66","5.94","+0.12","110"
"1109","信大","298,100","4,359,709","14.50","14.80","14.35","14.50"," 0.00","166"
"1110","東泥","103,000","1,540,900","15.45","15.45","14.50","14.50","-0.95","84"
"1201","味全","2,010,607","34,563,135","17.35","17.55","17.00","17.05","-0.10","836"
"1203","味王","112,011","2,827,847","25.15","25.40","25.00","25.30","-0.05","93"
"1210","大成","2,788,796","97,820,786","35.85","35.85","34.70","34.70","-0.55","1,617"
"1213","大飲","77,100","391,088","5.56","5.56","5.01","5.08","-0.48","19"
"1215","卜蜂","1,061,980","54,660,056","51.90","52.10","51.00","51.00","-0.40","799"
"1216","統一","18,256,131","1,156,887,853","64.50","64.50","61.90","61.90","-3.00","8,307"
"1217","愛之味","2,184,535","13,132,909","5.92","6.10","5.92","6.00","+0.09","813"
"1218","泰山","1,311,243","25,257,983","19.80","19.90","18.80","18.90","-0.80","761"
"1219","福壽","174,750","3,087,036","17.10","18.70","16.80","18.35","+1.25","129"
"1220","台榮","126,000","1,184,020","9.50","9.60","9.33","9.33","-0.05","77"
"1225","福懋油","90,017","2,615,045","29.00","29.30","28.80","29.20","-0.70","82"
"1227","佳格","2,754,013","147,727,894","53.10","54.70","52.60","54.20","+1.70","2,160"
"1229","聯華","3,955,634","126,358,933","31.90","32.35","31.75","31.80","-0.05","2,589"
"1231","聯華食","369,641","12,625,812","34.20","34.30","34.05","34.05","-0.05","279"
"1232","大統益","197,081","20,009,762","102.00","102.50","100.50","101.00","+0.50","265"
"1233","天仁","133,500","4,401,450","32.90","33.30","32.60","33.05","-0.30","94"
"1234","黑松","219,307","6,338,987","29.05","29.50","28.75","29.45","+0.05","120"
"1235","興泰","50,286","1,170,119","23.35","23.80","22.90","23.70","-0.05","46"
"1236","宏亞","44,256","465,907","10.65","10.70","10.20","10.30","-0.25","42"
"1256","鮮活果汁-KY","171,836","30,406,800","180.00","181.00","171.00","177.00","-2.50","255"
"1301","台塑","24,594,228","1,764,474,498","74.40","74.40","70.00","70.00","-4.60","13,287"
"1303","南亞","18,968,989","1,020,676,117","56.50","56.50","51.60","52.40","-3.60","8,615"
"1304","台聚","1,964,664","18,926,243","9.66","9.75","9.50","9.50","-0.14","879"
"1305","華夏","5,992,130","79,101,440","14.10","14.20","12.90","12.90","-1.20","3,896"
"1307","三芳","325,443","5,585,361","17.60","17.60","16.65","16.85","-0.75","199"
"1308","亞聚","1,625,727","21,676,491","13.55","13.65","13.05","13.10","-0.25","1,110"
"1309","台達化","809,635","6,240,585","7.66","7.80","7.63","7.66","+0.01","381"
"1310","台苯","3,498,664","46,763,514","13.70","13.75","13.00","13.45","-0.25","1,748"
"1312","國喬","5,084,496","61,762,873","12.40","12.50","11.80","11.80","-0.55","2,225"
"1312A","國喬特","45,000","1,356,300","30.40","30.50","30.00","30.25","-0.75","29"
"1313","聯成","1,944,225","15,632,840","8.03","8.10","8.00","8.00","-0.02","654"
"1314","中石化","24,637,860","170,957,990","6.84","7.08","6.80","6.82","-0.01","6,643"
"1315","達新","1,437,536","63,227,739","44.50","44.65","43.55","43.95","-1.25","926"
"1316","上曜","1,147,850","9,599,135","8.20","8.49","8.20","8.38","+0.18","454"
"1319","東陽","1,809,027","53,436,814","30.00","30.20","29.05","29.05","-0.65","1,452"
"1321","大洋","362,000","8,380,700","23.10","23.80","22.85","22.90","-0.20","202"
"1323","永裕","330,555","9,598,771","29.85","29.85","28.35","28.35","-1.60","207"
"1324","地球","47,000","355,210","8.09","8.09","7.42","7.51","+0.03","31"
"1325","恆大","13,317,989","506,953,832","38.45","39.40","36.50","38.00","+0.60","7,272"
"1326","台化","20,728,266","1,312,997,770","65.90","65.90","61.40","61.70","-4.50","10,629"
"1337","再生-KY","662,119","2,454,552","3.68","3.78","3.64","3.65","+0.02","305"
"1338","廣華-KY","334,127","12,556,340","38.10","38.85","35.00","35.00","-3.10","280"
"1339","昭輝","255,000","8,523,500","34.25","34.25","32.70","32.70","-0.70","215"
"1340","勝悅-KY","536,577","4,602,518","8.80","8.98","8.05","8.45","-0.35","299"
"1341","富林-KY","8,020","465,665","57.00","59.10","56.70","59.10"," 0.00","21"
"1402","遠東新","11,750,252","264,417,935","22.70","22.80","22.10","22.15","-0.50","4,268"
"1409","新纖","3,471,517","33,607,977","9.63","9.80","9.62","9.68","+0.08","1,265"
"1410","南染","41,563","1,146,212","27.65","27.85","27.50","27.60","+0.05","23"
"1413","宏洲","99,049","656,037","6.50","6.70","6.50","6.70","+0.15","37"
"1414","東和","154,031","848,724","5.50","5.55","5.43","5.46","-0.04","80"
"1416","廣豐","230,791","2,324,459","10.10","10.20","10.00","10.10","-0.05","166"
"1417","嘉裕","380,090","2,843,976","7.63","7.71","7.37","7.55","-0.08","184"
"1418","東華","1,039","7,205","6.96","6.96","6.96","6.96","X0.00","10"
"1419","新紡","47,001","1,743,737","37.10","37.45","36.20","37.00","-0.40","47"
"1423","利華","71,800","642,550","8.94","9.08","8.72","9.04","+0.39","43"
"1432","大魯閣","318,000","1,233,800","3.71","4.00","3.71","3.89","-0.17","112"
"1434","福懋","3,846,836","111,187,322","29.00","29.35","28.60","28.60","-0.55","2,791"
"1435","中福","431,009","2,979,227","6.78","7.02","6.78","6.90","+0.19","174"
"1436","華友聯","148,697","5,096,272","34.90","35.50","33.85","34.65","-0.25","124"
"1437","勤益控","421,250","7,609,200","18.20","18.45","17.85","17.85","-0.40","190"
"1438","裕豐","21,792","233,163","10.70","10.80","10.60","10.80","X0.00","14"
"1439","中和","392,000","11,515,950","29.80","30.50","28.60","28.60","-1.10","206"
"1440","南紡","1,634,251","13,110,823","8.10","8.11","8.00","8.00","-0.08","641"
"1441","大東","182,054","1,119,921","6.00","6.38","6.00","6.01","-0.37","122"
"1442","名軒","341,466","5,161,208","15.20","15.40","14.85","15.10","-0.10","198"
"1443","立益","90,893","796,926","8.60","8.95","8.50","8.90","-0.05","30"
"1444","力麗","1,955,488","12,922,608","6.60","6.69","6.55","6.55","-0.11","667"
"1445","大宇","247,356","1,524,358","6.05","6.21","6.05","6.17","-0.04","61"
"1446","宏和","371,045","7,787,858","21.00","21.45","20.00","21.10","-0.20","195"
"1447","力鵬","1,104,212","5,517,460","4.96","5.02","4.96","4.99","-0.01","364"
"1449","佳和","1,032,278","10,294,873","10.00","10.30","9.93","9.99","+0.03","249"
"1451","年興","473,017","7,651,222","16.70","16.70","15.90","15.90","-0.80","328"
"1452","宏益","611,159","10,136,800","16.85","16.85","16.30","16.30","-0.55","330"
"1453","大將","43,009","285,431","6.81","6.82","6.55","6.55","-0.27","37"
"1454","台富","154,000","1,048,230","6.77","6.89","6.70","6.70"," 0.00","75"
"1455","集盛","1,547,503","7,723,374","5.02","5.10","4.93","4.93","-0.06","517"
"1456","怡華","32,000","204,090","6.60","6.60","6.25","6.25","+0.05","21"
"1457","宜進","622,000","6,325,650","10.10","10.30","10.10","10.10"," 0.00","254"
"1459","聯發","186,339","1,066,033","5.71","5.86","5.58","5.86","-0.12","79"
"1460","宏遠","806,898","4,464,790","5.52","5.68","5.42","5.47","-0.03","417"
"1463","強盛","360,000","3,683,700","10.25","10.30","10.20","10.20","-0.05","173"
"1464","得力","1,117,150","19,957,395","17.60","18.10","17.60","17.70","-0.35","556"
"1465","偉全","438,000","6,305,100","14.45","14.65","14.15","14.35","+0.10","150"
"1466","聚隆","54,002","324,412","5.78","6.19","5.78","6.03","-0.01","40"
"1467","南緯","648,060","4,393,719","6.64","7.13","6.54","6.69","-0.11","138"
"1468","昶和","26,000","226,750","8.68","9.08","8.03","9.08","+0.24","25"
"1470","大統新創","14,003","258,361","17.30","19.65","17.25","17.55","-1.45","16"
"1471","首利","158,736","259,396","1.60","1.66","1.51","1.62","+0.06","46"
"1472","三洋紡","32,070","453,788","14.15","14.15","14.15","14.15","-1.55","25"
"1473","台南","348,836","8,179,401","24.50","24.50","23.10","23.45","-0.35","236"
"1474","弘裕","436,058","3,673,091","8.33","8.58","8.25","8.25","-0.58","229"
"1475","本盟","10,404","66,520","6.41","6.42","6.41","6.42","-0.10","10"
"1476","儒鴻","1,989,237","496,829,192","263.00","263.00","241.50","241.50","-21.50","1,837"
"1477","聚陽","4,170,701","477,658,051","118.00","120.00","112.00","112.00","-6.00","3,250"
"1503","士電","259,456","10,319,123","39.85","40.50","39.15","40.00","+0.15","180"
"1504","東元","8,387,555","208,360,320","24.70","25.05","24.65","25.00","+0.20","2,676"
"1506","正道","142,128","1,423,059","10.25","10.25","9.91","10.10","-0.20","58"
"1507","永大","220,109","12,568,744","57.50","57.80","56.50","57.10","-0.40","194"
"1512","瑞利","112,495","336,262","3.00","3.00","2.85","2.85","-0.15","63"
"1513","中興電","2,196,831","48,065,424","21.75","22.10","21.65","21.85","+0.15","1,046"
"1514","亞力","1,469,525","22,119,630","15.20","15.35","14.80","14.85","-0.25","573"
"1515","力山","1,283,394","58,234,180","45.65","46.30","44.50","44.90","+0.30","947"
"1516","川飛","118,475","1,653,237","13.95","14.10","13.85","14.00","-0.10","39"
"1517","利奇","468,091","3,022,470","6.60","6.64","6.12","6.39","-0.25","220"
"1519","華城","1,041,994","23,559,411","23.05","23.30","22.05","22.15","-0.50","548"
"1521","大億","196,062","10,251,386","53.30","53.30","52.00","52.10","-1.20","133"
"1522","堤維西","773,269","14,027,795","18.45","18.60","18.00","18.00","-0.25","490"
"1524","耿鼎","667,004","5,747,642","8.50","8.78","8.37","8.59","+0.52","315"
"1525","江申","79,000","3,190,500","41.00","41.00","40.00","41.00"," 0.00","73"
"1526","日馳","480,955","7,169,770","14.95","15.20","14.55","14.60","+0.10","308"
"1527","鑽全","1,073,294","39,996,178","37.60","38.00","36.50","36.50","-1.10","802"
"1528","恩德","413,641","2,375,536","5.70","5.89","5.67","5.72","+0.02","310"
"1529","樂士","189,882","2,162,061","12.65","12.65","10.90","10.90","-1.20","99"
"1530","亞崴","46,240","1,226,012","26.45","26.60","26.20","26.45","-0.25","40"
"1531","高林股","679,869","6,634,414","10.20","10.20","9.50","9.65","-0.60","359"
"1532","勤美","535,915","12,440,753","23.00","23.85","22.90","23.00","-0.45","316"
"1533","車王電","161,200","3,859,700","23.65","25.00","23.55","23.65","+0.05","125"
"1535","中宇","140,365","3,903,687","28.20","28.25","27.60","27.70","-0.80","96"
"1536","和大","1,569,958","138,471,655","88.30","89.70","87.60","88.90","+0.80","1,078"
"1537","廣隆","338,900","43,743,000","129.50","131.00","128.00","128.00"," 0.00","325"
"1538","正峰新","115,015","335,276","2.91","3.00","2.91","2.91","-0.32","39"
"1539","巨庭","116,642","1,478,508","12.90","13.00","12.30","12.40","-0.30","77"
"1540","喬福","384,449","5,764,934","15.10","15.20","14.60","14.70","-0.45","175"
"1541","錩泰","331,089","8,776,838","28.40","28.45","25.75","25.75","-2.85","227"
"1558","伸興","378,422","44,108,083","118.00","118.50","115.50","115.50","-2.50","298"
"1560","中砂","432,360","22,025,160","51.00","51.50","50.20","51.00"," 0.00","342"
"1568","倉佑","168,900","2,203,731","13.15","13.30","12.70","12.95"," 0.00","98"
"1582","信錦","856,706","57,451,337","68.00","68.40","66.20","66.20","-1.80","789"
"1583","程泰","35,000","1,867,800","53.00","56.90","52.20","53.00"," 0.00","31"
"1587","吉茂","154,445","1,504,255","10.50","10.50","9.50","9.50","-1.05","99"
"1589","永冠-KY","395,000","19,959,700","51.70","51.70","50.20","50.20"," 0.00","238"
"1590","亞德客-KY","2,875,736","1,074,126,715","376.00","384.50","362.00","365.00","-5.00","2,595"
"1592","英瑞-KY","1,424,152","15,856,697","10.95","11.60","10.70","11.60"," 0.00","508"
"1598","岱宇","1,014,989","36,584,150","35.65","36.60","35.25","36.60"," 0.00","308"
"1603","華電","226,012","6,314,529","27.20","28.50","26.90","27.60","+0.30","124"
"1604","聲寶","1,998,167","34,498,407","17.20","17.65","16.95","17.30","+0.85","965"
"1605","華新","20,822,385","238,915,798","11.00","11.80","11.00","11.60","+0.70","6,333"
"1608","華榮","915,213","6,315,211","6.75","7.06","6.68","6.87","+0.12","368"
"1609","大亞","3,096,331","24,096,854","7.85","7.89","7.66","7.69","+0.03","1,061"
"1611","中電","1,137,250","13,329,054","11.55","11.95","11.45","11.70","+0.10","625"
"1612","宏泰","444,205","3,876,407","8.80","8.80","8.65","8.65","-0.15","197"
"1614","三洋電","121,002","3,077,000","25.65","26.20","25.20","25.25","-0.50","92"
"1615","大山","194,661","3,435,217","17.45","17.95","17.45","17.50","+0.05","100"
"1616","億泰","52,083","197,857","3.72","3.90","3.72","3.72","-0.18","38"
"1617","榮星","13,029","128,575","9.89","9.89","9.80","9.88","+0.23","15"
"1618","合機","251,345","1,642,844","6.52","6.64","6.45","6.45","-0.12","115"
"1626","艾美特-KY","254,913","5,190,933","19.80","20.75","19.80","20.10","-0.50","160"
"1701","中化","1,839,354","31,903,722","17.50","17.70","17.05","17.05","-0.35","925"
"1702","南僑","458,936","17,829,543","39.00","39.15","38.65","38.70","-0.30","389"
"1707","葡萄王","1,270,221","264,774,953","210.00","213.00","203.50","203.50","-3.50","1,118"
"1708","東鹼","359,624","7,581,829","21.40","21.40","20.90","21.00","-0.40","261"
"1709","和益","1,463,165","16,646,226","11.65","11.65","11.10","11.10","-0.25","528"
"1710","東聯","3,258,219","49,671,025","15.55","15.75","14.75","14.80","-1.00","1,654"
"1711","永光","1,853,656","22,657,102","12.70","12.75","11.85","11.90","-0.70","734"
"1712","興農","1,219,363","20,599,853","16.90","17.00","16.85","16.85"," 0.00","600"
"1713","國化","148,533","2,360,710","15.65","16.20","15.55","16.00","+0.25","162"
"1714","和桐","6,704,838","38,441,890","5.88","5.88","5.62","5.62","-0.15","1,561"
