縣市,鄉鎮市區,儲匯局號,局名,聯絡電話,郵局地址,經度,緯度,ATM,具存款,具補摺,自動補摺機,提領200元,具視障語音,是否為局外ATM,縣市排序代號
基隆市,中正區,001107-8,海洋大學郵局,(02)2462-1990,基隆市中正區北寧路2號,121.775569,25.150583,O,O,O,O,,,局內,0
基隆市,中正區,001111-1,基隆八斗子郵局,(02)2469-2134,基隆市中正區八斗街14號,121.796289,25.140034,O,,O,O,,,局內,0
基隆市,中正區,001115-5,基隆安瀾橋郵局,(02)2462-1989,基隆市中正區中正路330號,121.761035,25.142837,O,,O,O,,,局內,0
基隆市,中正區,001125-0,基隆三沙灣郵局,(02)2421-0165,基隆市中正區中船路112巷28號,121.752199,25.138374,O,,O,O,,,局內,0
基隆市,中正區,001138-5,基隆新豐街郵局,(02)2460-1533,基隆市中正區新豐街482號2樓,121.785179,25.135488,O,O,,O,,,局內,0
基隆市,仁愛區,001100-2,基隆愛三路郵局,(02)2421-0148,基隆市仁愛區愛三路130號1F,121.743734,25.129912,O,O,O,O,O,,局內,0
基隆市,仁愛區,001102-0,基隆港西街郵局,(02)2421-0157,基隆市仁愛區港西街10號,121.740739,25.133743,O,O,O,O,,,局內,0
基隆市,仁愛區,001109-5,基隆孝三路郵局,(02)2421-0159,基隆市仁愛區孝三路62號,121.739608,25.130425,O,O,O,O,,,局內,0
基隆市,仁愛區,001116-9,基隆仁二路郵局,(02)2421-0162,基隆市仁愛區仁二路19號,121.750388,25.127587,O,,O,O,,,局內,0
基隆市,仁愛區,001117-2,基隆光二路郵局,(02)2431-8895,基隆市仁愛區光二路1號,121.737208,25.127372,O,,O,O,,,局內,0
基隆市,仁愛區,001119-0,基隆南榮路郵局,(02)2421-0163,基隆市仁愛區南榮路20號,121.742639,25.125719,O,O,,O,,,局內,0
基隆市,安樂區,,安樂區婦幼活動中心--大門左側,(02)2421-0148,麥金路482號,121.719722,25.126111,O,,O,O,,,局外,0
基隆市,安樂區,,旭興科技公司--警衛室旁,(02)2421-0148,武訓街28-1號,121.432224,25.000008,O,,,O,,,局外,0
基隆市,安樂區,,長庚醫院基隆分院情人湖院區--藥房正對面,(02)2421-0148,麥金一路208巷200號,121.710695,25.122724,O,,,O,,O,局外,0
基隆市,安樂區,001118-6,基隆樂利郵局,(02)2432-8638,基隆市安樂區樂利三街261號,121.715858,25.126704,O,,O,O,,,局內,0
基隆市,安樂區,001121-5,基隆安樂路郵局,(02)2431-5275,基隆市安樂區安樂路二段132號,121.72397,25.121475,O,O,O,O,,,局內,0
基隆市,安樂區,001126-3,基隆大武崙郵局,(02)2432-4246,基隆市安樂區基金一路131-24號,121.711878,25.140219,O,O,O,O,,,局內,0
基隆市,信義區,,基隆女中--警衛室旁,(02)2421-0148,東信路324號,121.759722,25.129444,O,,O,O,,,局外,0
基隆市,信義區,,基隆市警察局--保安隊旁,(02)2421-0148,信二路205號,121.749722,25.129722,O,,,O,,,局外,0
基隆市,信義區,,基隆地方法院--法警室,(02)2421-0148,東信路176號,121.764166,25.128888,O,,,O,,,局外,0
基隆市,信義區,,基隆醫院--門診骨科對面,(02)2421-0148,信二路268號,121.748333,25.130555,O,,,O,,O,局外,0
基隆市,信義區,001112-4,基隆信義郵局,(02)2421-0161,基隆市信義區信二路178號,121.753495,25.129461,O,O,O,O,,,局內,0
基隆市,信義區,001113-8,基隆東信路郵局,(02)2465-7502,基隆市信義區東信路123號,121.763864,25.128232,O,,O,O,,,局內,0
基隆市,暖暖區,,基隆高中-守衛室旁,(02)2421-0148,源遠路20號,121.733055,25.107777,O,,O,O,,,局外,0
基隆市,暖暖區,001108-1,基隆過港路郵局,(02)2457-2339,基隆市暖暖區過港路58號,121.737722,25.105212,O,O,O,O,,,局內,0
基隆市,暖暖區,001120-1,基隆碇內郵局,(02)2457-6082,基隆市暖暖區源遠路341號,121.758228,25.099545,O,O,O,O,,,局內,0
基隆市,暖暖區,001131-0,基隆暖暖郵局,(02)2458-4870,基隆市暖暖區暖暖街190號,121.7356,25.099258,O,O,O,O,,,局內,0
臺北市,士林區,,東吳大學綜合大樓1樓-舊郵局址,(02)2891-2420,臨溪路70號,121.545744,25.094452,O,,O,O,,O,局外,10
臺北市,士林區,,臺北市立大學天母校區-行政大樓1樓,(02)2891-2420,忠誠路2段101號,121.536666,25.116111,O,,,O,,O,局外,10
臺北市,士林區,,臺灣士林地方法院檢察署--偵查大樓,(02)2891-2420,士東路190號之3,121.532898,25.111764,O,,,O,,,局外,10
臺北市,士林區,,臺灣科學教育館--1樓,(02)2891-2420,士商路189號,121.516111,25.096111,O,,,O,,,局外,10
臺北市,士林區,000128-4,士林郵局,(02)2881-2535,臺北市士林區文林路162號,121.526882,25.089289,O,O,O,O,,O,局內,10
臺北市,士林區,000142-1,士林社子郵局,(02)2812-1072,臺北市士林區延平北路五段150號,121.510448,25.082442,O,,O,O,,,局內,10
臺北市,士林區,000152-6,士林天母郵局,(02)2873-5072,臺北市士林區中山北路七段130號,121.532146,25.122812,O,,O,O,,,局內,10
臺北市,士林區,000159-1,故宮郵局,(02)2881-8410,臺北市士林區至善路二段221號(故宮博物院內),121.548764,25.102015,O,O,,O,,,局內,10
臺北市,士林區,000173-9,士林中正路郵局,(02)8866-6047,臺北市士林區中正路420號,121.51952,25.093549,O,O,,O,,,局內,10
臺北市,士林區,000177-3,士林後港郵局,(02)2881-3600,臺北市士林區福港街149巷2號,121.518299,25.087416,O,O,O,O,,,局內,10
臺北市,士林區,000183-3,士林蘭雅郵局,(02)2832-6924,臺北市士林區忠誠路一段52號,121.526931,25.104639,O,O,O,O,,,局內,10
臺北市,士林區,000186-4,東吳大學郵局,(02)2881-5624,臺北市士林區臨溪路70號(東吳大學內),121.546299,25.094071,O,,,O,,,局內,10
臺北市,士林區,000205-0,士林芝山郵局,(02)2836-3191,臺北市士林區士東路286巷36號,121.537413,25.11143,O,O,,O,,,局內,10
臺北市,士林區,000206-3,士林法院郵局,(02)2836-6049,臺北市士林區士東路190號,121.533128,25.111961,O,,,O,,,局內,10
臺北市,士林區,000216-8,士林外雙溪郵局,(02)2841-1174,臺北市士林區明溪街15號,121.565203,25.107014,O,,O,O,,,局內,10
臺北市,士林區,000223-1,士林劍潭郵局,(02)2885-6043,臺北市士林區基河路14號,121.523908,25.081748,O,O,,O,,,局內,10
臺北市,士林區,000225-9,文化大學郵局,(02)2861-5880,臺北市士林區華岡路55號,121.538735,25.1359,O,O,O,O,,O,局內,10
臺北市,士林區,000226-2,士林社新里郵局,(02)2812-1099,臺北市士林區延平北路六段197號,121.505844,25.089392,O,,O,O,,,局內,10
臺北市,士林區,000229-3,士林名山里郵局,(02)2838-6703,臺北市士林區至誠路二段70號,121.528281,25.101736,O,,O,O,,,局內,10
臺北市,大同區,000110-1,臺北迪化街郵局,(02)2556-0631,臺北市大同區迪化街一段38號,121.510023,25.054805,O,O,O,O,,,局內,10
臺北市,大同區,000111-4,臺北圓環郵局,(02)2559-2168,臺北市大同區重慶北路二段15號,121.514425,25.054665,O,,,O,,,局內,10
臺北市,大同區,000121-9,臺北臺北橋郵局,(02)2550-2821,臺北市大同區民權西路246號,121.512683,25.062796,O,,O,O,,,局內,10
臺北市,大同區,000147-0,臺北大同郵局,(02)2594-1868,臺北市大同區承德路三段83號,121.518524,25.065943,O,O,,O,,,局內,10
臺北市,大同區,000150-9,臺北大龍峒郵局,(02)2586-0105,臺北市大同區重慶北路三段338號,121.513628,25.076127,O,O,O,O,,,局內,10
臺北市,大同區,000161-7,臺北保安郵局,(02)2553-9692,臺北市大同區重慶北路二段183號,121.513758,25.059877,O,,O,O,,,局內,10
臺北市,大安區,,中華郵政公司--金山大樓2樓電梯旁,(02)2381-3135,金山南路2段55號,121.527222,25.032222,O,,,O,,,局外,10
臺北市,大安區,,交通部航管局--敦和大樓1樓,(02)2381-3135,和平東路3段1巷1號,121.546944,25.025277,O,,,O,,,局外,10
臺北市,大安區,,金山南路自助郵局,(02)2394-0804,金山南路2段86號,121.526666,25.031111,O,,O,O,,,局外,10
臺北市,大安區,,復興南路自助郵局,(02)2381-3135,復興南路2段275號,121.543888,25.025555,O,,,O,,,局外,10
臺北市,大安區,,臺北科技大學--警衛室旁,(02)2381-3135,忠孝東路3段1號,121.535555,25.042222,O,,,O,,,局外,10
臺北市,大安區,,臺北科技大學--警衛室旁,(02)2381-3135,新生南路1段3號,121.533333,25.043611,O,,,O,,O,局外,10
臺北市,大安區,,臺灣大學--大一女生宿舍餐廳門口旁,(02)2381-3135,羅斯福路4段1號,121.533648,25.017049,O,,,O,,,局外,10
臺北市,大安區,,臺灣大學--國青研三舍,(02)2381-3135,辛亥路3段30號,121.544444,25.020555,O,,,O,,,局外,10
臺北市,大安區,,調查局臺北調查處--文康中心1樓,(02)2381-3135,基隆路2段176號,121.554166,25.025833,O,,O,O,,,局外,10
臺北市,大安區,000107-1,臺北青田郵局,(02)2321-8001,臺北市大安區和平東路一段155號,121.531151,25.026851,O,O,,O,,,局內,10
臺北市,大安區,000122-2,臺北師大郵局,(02)2363-5053,臺北市大安區和平東路一段162號,121.528313,25.025924,O,O,O,O,,O,局內,10
臺北市,大安區,000123-6,臺大郵局,(02)2363-3435,臺北市大安區羅斯福路四段1號(台灣大學內),121.537433,25.018646,O,O,O,O,,O,局內,10
臺北市,大安區,000124-0,臺北仁愛路郵局,(02)2752-4551,臺北市大安區仁愛路三段47號,121.535569,25.038628,O,O,O,O,,,局內,10
臺北市,大安區,000126-7,臺北信維郵局,(02)2708-3670,臺北市大安區信義路四段74號,121.546419,25.033141,O,,O,O,,,局內,10
臺北市,大安區,000132-7,臺北光華郵局,(02)2731-5570,臺北市大安區新生北路一段7之2號,121.533162,25.045154,O,O,O,O,,,局內,10
臺北市,大安區,000143-5,臺北三張犁郵局,(02)2701-5196,臺北市大安區信義路四段337號,121.556403,25.033252,O,O,O,O,,,局內,10
臺北市,大安區,000144-9,臺北成功郵局,(02)2708-1087,臺北市大安區四維路198巷38弄12號,121.545403,25.026465,O,O,,O,,,局內,10
臺北市,大安區,000153-0,臺北光武郵局,(02)2721-1634,臺北市大安區大安路一段52巷16號,121.545601,25.043027,O,O,O,O,,,局內,10
臺北市,大安區,000157-4,臺北六張犁郵局,(02)2733-0262,臺北市大安區和平東路三段208號,121.553823,25.022872,O,O,O,O,,,局內,10
臺北市,大安區,000182-0,臺北正義郵局,(02)2752-8005,臺北市大安區忠孝東路三段150、152、154號,121.538303,25.041511,O,O,O,O,,,局內,10
臺北市,大安區,000190-7,臺灣科大郵局,(02)2733-1071,臺北市大安區基隆路四段43號(台灣科技大學內),121.542483,25.013933,O,O,O,O,,,局內,10
臺北市,大安區,000191-1,臺北金南郵局,(02)2394-0804,臺北市大安區愛國東路216號,121.524565,25.031831,O,O,O,O,O,,局內,10
臺北市,大安區,000196-9,臺北安和郵局,(02)2708-5519,臺北市大安區安和路二段61、63號,121.552661,25.030837,O,O,O,O,,,局內,10
臺北市,大安區,000208-1,臺北敦南郵局,(02)2771-5334,臺北市大安區忠孝東路四段170巷9號,121.55085,25.040667,O,O,,O,,,局內,10
臺北市,大安區,000217-1,臺北大安郵局,(02)2705-3234,臺北市大安區信義路三段89號,121.538257,25.033703,O,O,O,O,,,局內,10
臺北市,中山區,,中央廣播電臺--警衛室,(02)2381-3135,區北安路55號,121.555813,25.085433,O,,O,O,,,局外,10
臺北市,中山區,,民用航空局飛航服務總台--大門旁,(02)2381-3135,濱江街362號,121.546111,25.071944,O,,O,O,,,局外,10
臺北市,中山區,,國防部軍事新聞處--接待室內,(02)2381-3135,北安路409號,121.542895,25.079851,O,O,,O,,,局外,10
臺北市,中山區,,圓山大飯店--B1警衛室旁,(02)(02)2381-3135,中山北路4段1號,121.525555,25.077222,O,,,O,,,局外,10
臺北市,中山區,,嘉新大樓--大門入口處,(02)2381-3135,中山北路2段嘉新大樓,121.522499,25.052499,O,,,O,,,局外,10
臺北市,中山區,,臺北大學臺北校區--自強大樓1樓,(02)2381-3135,合江街53號,121.539444,25.056666,O,,,O,,O,局外,10
臺北市,中山區,,臺北市立美術館--B2,(02)2381-3135,中山北路3段181號,121.524722,25.0725,O,,O,O,,,局外,10
臺北市,中山區,,雙連自助郵局,(02)2381-3135,中山北路2段89之2號,121.523333,25.058888,O,,,O,,,局外,10
臺北市,中山區,000109-9,臺北中山郵局,(02)2542-5934,臺北市中山區中山北路一段142號,121.522121,25.051515,O,,O,O,,,局內,10
臺北市,中山區,000117-6,臺北雙連郵局,(02)2523-6846,臺北市中山區中山北路二段96號,121.522548,25.059406,O,,O,O,,,局內,10
臺北市,中山區,000127-1,臺北建北郵局,(02)2504-1943,臺北市中山區建國北路二段33號,121.537185,25.055026,O,O,O,O,,,局內,10
臺北市,中山區,000134-4,臺北中崙郵局,(02)2772-5405,臺北市中山區復興北路40號,121.543718,25.049404,O,O,O,O,,,局內,10
臺北市,中山區,000137-5,臺北大直郵局,(02)2533-4543,臺北市中山區北安路518巷14弄18、20號,121.545445,25.078971,O,O,O,O,,,局內,10
臺北市,中山區,000146-6,臺北長安郵局,(02)2515-0399,臺北市中山區長安東路二段97號,121.53485,25.048551,O,,O,O,,,局內,10
臺北市,中山區,000155-7,臺北松江路郵局,(02)2561-8954,臺北市中山區松江路366號,121.533055,25.062222,O,O,,O,,,局內,10
臺北市,中山區,000165-1,臺北圓山郵局,(02)2592-1606,臺北市中山區林森北路573號,121.525811,25.065024,O,O,O,O,,,局內,10
臺北市,中山區,000167-9,臺北長春路郵局,(02)2537-3821,臺北市中山區長春路129號之2,121.530632,25.055003,O,,O,O,,,局內,10
臺北市,中山區,000168-2,臺北民權郵局,(02)2563-8027,臺北市中山區民權西路22號,121.521633,25.062578,O,O,O,O,,,局內,10
臺北市,中山區,000204-6,臺北北安郵局,(02)2532-0537,臺北市中山區北安路630巷10號,121.549846,25.082668,O,O,O,O,,,局內,10
臺北市,中山區,000212-3,臺北興安郵局,(02)2504-3662,臺北市中山區復興北路210、212號,121.543872,25.056242,O,O,,O,,,局內,10
臺北市,中山區,000221-4,臺北龍江路郵局,(02)2501-6754,臺北市中山區龍江路335號,121.541036,25.063333,O,O,,O,,,局內,10
臺北市,中山區,000222-8,國防部郵局,(02)8509-9866,臺北市中山區北安路409號,121.540196,25.082813,O,,O,O,,,局內,10
臺北市,中山區,000292-0,臺北樂群二路郵局,(02)85023327,臺北市中山區樂群二路147號,121.557167,25.080134,O,,O,O,,,局內,10
臺北市,中正區,,中央氣象局--服務科門口旁,(02)2381-3135,公園路64號,121.515,25.0375,O,,,O,,,局外,10
臺北市,中正區,,中央聯合辦公大樓--北棟地下1F,(02)2356-6485,濟南路1段2-2號,121.519722,25.043055,O,,,O,,,局外,10
臺北市,中正區,,內政部警政署--後門警哨旁,(02)2381-3135,忠孝東路1段7號,121.522777,25.045277,O,,,O,,,局外,10
臺北市,中正區,,北一女中--行政區東側樓梯旁,(02)2381-3135,重慶南路1段165號,121.513055,25.038611,O,,,O,,,局外,10
臺北市,中正區,,司法院秘書處--司法大廈1樓,(02)2381-3135,重慶南路1段124號,121.5125,25.038055,O,,,O,,,局外,10
臺北市,中正區,,東吳大學城區部--崇基大樓後門旁,(02)2381-3135,延平南路129巷1號,121.509166,25.038055,O,,O,O,,,局外,10
臺北市,中正區,,國家音樂廳--售票廳旁,(02)2381-3135,中山南路21-1號,121.521649,25.034797,O,,,O,,,局外,10
臺北市,中正區,,國家圖書館--自修室旁,(02)2381-3135,中山南路20號,121.516944,25.037222,O,,,O,,,局外,10
臺北市,中正區,,國家劇院--售票廳旁,(02)2381-3135,中山南路21-1號,121.521649,25.034797,O,,,O,,,局外,10
臺北市,中正區,,最高法院--地下室安全門旁,(02)2381-3135,長沙街1段6號,121.51,25.039999,O,,,O,,,局外,10
臺北市,中正區,,郵政博物館北門分館2樓,(02)2381-3135,忠孝西路1段114號2樓,121.5125,25.047222,O,,,O,,,局外,10
臺北市,中正區,,郵政醫院--大門旁,(02)2381-3135,福州街14號1樓,121.518888,25.028611,O,,,O,,O,局外,10
臺北市,中正區,,開封街自助郵局,(02)2381-3135,開封街1段45號,121.5125,25.046111,O,O,O,O,,,局外,10
臺北市,中正區,,臺北市立大學--行政大樓1樓,(02)2381-3135,愛國西路1號,121.513611,25.035555,O,,,O,,,局外,10
臺北市,中正區,,臺北重南郵局舊局址,(02)2381-3135,重慶南路1段48號,121.513333,25.044444,O,,O,O,,,局外,10
臺北市,中正區,,臺北高等法院--民庭大廈B1,(02)2381-3135,貴陽街1段233號,121.51,25.039166,O,,,O,,,局外,10
臺北市,中正區,,臺灣大學公共衛生學院--1樓電梯旁,(02)2381-3135,徐州路17號,121.523055,25.041111,O,,,O,,,局外,10
臺北市,中正區,000100-6,臺北北門郵局,(02)2381-3135,臺北市中正區忠孝西路一段120號1樓,121.511431,25.047355,O,O,O,O,O,O,局內,10
臺北市,中正區,000101-0,臺北東門郵局,(02)2321-4679,臺北市中正區信義路二段163號,121.528922,25.03408,O,O,,O,,,局內,10
臺北市,中正區,000105-4,臺北南海郵局,(02)2321-4189,臺北市中正區重慶南路二段43號,121.514659,25.031833,O,O,O,O,,O,局內,10
臺北市,中正區,000106-8,臺北螢橋郵局,(02)2367-0905,臺北市中正區廈門街76號,121.517368,25.02463,O,O,O,O,,,局內,10
臺北市,中正區,000108-5,臺北復興橋郵局,(02)2311-4421,臺北市中正區忠孝西路一段1號,121.519409,25.046041,O,,O,O,,,局內,10
臺北市,中正區,000112-8,行政院郵局,(02)2321-4874,臺北市中正區北平東路2號(行政院內),121.521525,25.04687,O,,,O,,,局內,10
臺北市,中正區,000113-1,臺北公館郵局,(02)2368-8574,臺北市中正區羅斯福路四段74號(B1),121.534035,25.015428,O,O,O,O,,,局內,10
臺北市,中正區,000114-5,國史館郵局,(02)2311-7879,臺北市中正區博愛路168號之1,121.511064,25.039789,O,,,O,,,局內,10
臺北市,中正區,000115-9,總統府郵局,(02)2311-0859,臺北市中正區重慶南路一段122號(總統府內),121.511596,25.039824,O,,O,O,,,局內,10
臺北市,中正區,000120-5,臺北法院郵局,(02)2311-3025,臺北市中正區博愛路127號(司法大廈內),121.511139,25.038072,O,,,O,,,局內,10
臺北市,中正區,000125-3,立法院郵局,(02)2321-9814,臺北市中正區濟南路一段1號,121.519897,25.043253,O,,O,O,,,局內,10
臺北市,中正區,000130-0,臺北古亭郵局,(02)2368-2923,臺北市中正區南昌路二段232號,121.524667,25.023693,O,O,O,O,,,局內,10
臺北市,中正區,000133-1,臺北南陽郵局,(02)2375-4227,臺北市中正區信陽街8號,121.516071,25.044638,O,O,O,O,,,局內,10
臺北市,中正區,000139-2,臺北重南郵局,(02)2331-3075,臺北市中正區忠孝西路一段120號1樓,121.511366,25.046834,,,,O,,,局內,10
臺北市,中正區,000158-8,臺北小南門郵局,(02)2375-9856,臺北市中正區廣州街15號,121.508111,25.03579,O,,,O,,,局內,10
臺北市,中正區,000164-8,臺北火車站郵局,(02)2311-4239,臺北市中正區北平西路3號(台北火車站內),121.517699,25.047590999999997,O,O,O,O,,O,局內,10
臺北市,中正區,000171-1,臺北汀州郵局,(02)2363-7009,臺北市中正區汀州路三段301號,121.53588,25.011795,O,,O,O,,,局內,10
臺北市,中正區,000172-5,臺北龍口郵局,(02)2303-4060,臺北市中正區和平西路二段68號,121.511598,25.029097,O,,O,O,,,局內,10
臺北市,中正區,000184-7,臺北杭南郵局,(02)2393-8719,臺北市中正區杭州南路一段23號之3,121.52653699999999,25.042323000000003,O,O,O,O,,,局內,10
臺北市,中正區,000192-4,臺北中正堂郵局,(02)2394-2715,臺北市中正區中山南路21號(中正紀念堂內),121.52211,25.035107,O,,,O,,,局內,10
臺北市,中正區,000200-1,監察院郵局,(02)2392-5345,臺北市中正區忠孝東路一段2號(監察院東側，面向鎮江街),121.521362,25.044816,O,,O,O,,,局內,10
臺北市,中正區,000207-7,臺北中山堂郵局,(02)2314-8490,臺北市中正區中華路一段53號,121.509104,25.042993,O,,,O,,,局內,10
臺北市,中正區,000210-6,臺北南門郵局,(02)2331-6433,臺北市中正區廣州街2號,121.5105,25.034783,O,,O,O,,,局內,10
臺北市,中正區,000215-4,臺大醫院郵局,(02)2397-3983,臺北市中正區中山南路七號(台大醫院內),121.518927,25.0402,O,,O,O,,,局內,10
臺北市,中正區,000220-1,臺北中聯郵局,(02)2356-6485,臺北市中正區徐州路5號地下一樓(中央聯合辦公大樓內),121.519468,25.042225,O,,O,O,,,局內,10
臺北市,中正區,000277-9,臺北仁杭郵局,(02)2395-5573,臺北市中正區杭州南路１段24號1樓(交通部大樓國際會議廳),121.524695,25.037588,O,,,O,,,局內,10
臺北市,內湖區,,仁寶電腦公司--仁寶大樓B1,(02)2790-1070轉11,瑞光路581號,121.432224,25.000008,O,,,O,,,局外,10
臺北市,內湖區,,內湖江南自助郵局,(02)2790-1070轉11,瑞光路247號,121.577777,25.074722,O,,O,O,,,局外,10
臺北市,內湖區,,旺旺總部中天大樓--時報大樓文康中心旁,(02)2790-1070轉11,民權東路六段25號B1,121.583333,25.068611,O,,O,O,,,局外,10
臺北市,內湖區,,華寶通訊公司--華寶大樓B1,(02)2790-1070轉11,陽光街385號,121.575277,25.0725,O,,O,O,,,局外,10
臺北市,內湖區,000248-9,內湖郵局,(02)2790-1070-11,臺北市內湖區民權東路六段83號,121.588113,25.069272,O,O,,O,O,,局內,10
臺北市,內湖區,000249-2,內湖碧湖郵局,(02)2795-4215,臺北市內湖區內湖路二段225號,121.589016,25.081850999999997,O,O,,O,,,局內,10
臺北市,內湖區,000250-4,內湖週美郵局,(02)2791-0759,臺北市內湖區新明路380巷4弄4號,121.580071,25.055081,O,,O,O,,,局內,10
臺北市,內湖區,000251-8,內湖文德郵局,(02)2627-0039,臺北市內湖區文德路26號,121.579716,25.078289,O,O,,O,,,局內,10
臺北市,內湖區,000252-1,內湖金龍郵局,(02)2790-3378,臺北市內湖區內湖路三段131號,121.589984,25.086794,O,,O,O,,,局內,10
臺北市,內湖區,000253-5,內湖西湖郵局,(02)2799-1342,臺北市內湖區內湖路一段331號,121.568297,25.082327,O,O,,O,,,局內,10
臺北市,內湖區,000254-9,內湖東湖郵局,(02)2632-3853,臺北市內湖區康樂街16號,121.617868,25.068211,O,O,O,O,,,局內,10
臺北市,內湖區,000255-2,內湖大湖郵局,(02)2792-6045,臺北市內湖區大湖街166巷2號,121.600631,25.084321,O,,O,O,,,局內,10
臺北市,內湖區,000256-6,內湖江南郵局,(02)2657-2428,臺北市內湖區瑞光路316巷1號,121.573929,25.076505,O,O,,O,,,局內,10
臺北市,內湖區,000257-0,內湖北勢湖郵局,(02)2799-4021,臺北市內湖區內湖路一段91巷2-1號,121.561453,25.084722,O,,O,O,,,局內,10
臺北市,內湖區,000258-3,內湖舊宗郵局,(02)2792-7970,臺北市內湖區舊宗路一段189號,121.577979,25.06229,O,,,O,,,局內,10
臺北市,內湖區,000259-7,內湖康寧郵局,(02)2633-4746,臺北市內湖區康寧路三段22號之1,121.607769,25.072277,O,O,O,O,,,局內,10
臺北市,內湖區,000260-9,內湖三總郵局,(02)8791-2867,臺北市內湖區成功路二段325號2樓,121.592291,25.071849,O,,O,O,,,局內,10
臺北市,文山區,,木柵高工--警衛室旁,(02)2939-2781轉11,木柵路4段77號,121.571944,24.995833,O,,,O,,,局外,10
臺北市,文山區,,東山高中--大門守衛室旁會客室,(02)2913-3884,老泉街26巷3號,121.561111,24.974166,O,,,O,,,局外,10
臺北市,文山區,,政治大學電算中心--1樓處,(02)2939-2781轉11,指南路2段64號,121.576493,24.987445,O,,,O,,,局外,10
臺北市,文山區,,政治大學綜合館--南棟1樓處,(02)2939-2781轉11,指南路2段64號,121.576493,24.987445,O,,,O,,O,局外,10
臺北市,文山區,,政治大學--藝文中心1樓,(02)2939-2781轉11,指南路2段64號,121.576493,24.987445,O,,,O,,,局外,10
臺北市,文山區,,海洋委員會海巡署--開標室旁,(02)2381-3135,興隆路3段296號,121.559722,24.995555,O,,,O,,,局外,10
臺北市,文山區,,臺灣警察專科學校--山下接待室,(02)2381-3135,興隆路3段153號,121.559444,24.998055,O,,,O,,,局外,10
臺北市,文山區,,臺灣警察專科學校--山上宿舍,(02)2381-3135,興隆路3段153號,121.559444,24.998055,O,,,O,,,局外,10
臺北市,文山區,,銓敘部--中興樓正門入口處內樓梯下,(02)2939-2781轉11,試院路試院路1之2號,121.549999,24.987777,O,,,O,,,局外,10
臺北市,文山區,000129-8,文山景美郵局,(02)2932-3411,臺北市文山區羅斯福路六段389號,121.540901,24.992446,O,O,O,O,,,局內,10
臺北市,文山區,000175-6,文山興隆路郵局,(02)2931-8476,臺北市文山區興隆路二段171號,121.548895,25.000715,O,O,O,O,,,局內,10
臺北市,文山區,000193-8,文山武功郵局,(02)2931-4860,臺北市文山區羅斯福路五段147號,121.539054,25.004078,O,O,O,O,,,局內,10
